e_cblp,e_cp,e_cparhdr,e_maxalloc,e_sp,e_lfanew,NumberOfSections,CreationYear,FH_char0,FH_char1,FH_char2,FH_char3,FH_char4,FH_char5,FH_char6,FH_char7,FH_char8,FH_char9,FH_char10,FH_char11,FH_char12,FH_char13,FH_char14,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,OH_DLLchar0,OH_DLLchar1,OH_DLLchar2,OH_DLLchar3,OH_DLLchar4,OH_DLLchar5,OH_DLLchar6,OH_DLLchar7,OH_DLLchar8,OH_DLLchar9,OH_DLLchar10,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,sus_sections,non_sus_sections,packer,packer_type,E_text,E_data,filesize,E_file,fileinfo,class
144,3,4,65535,184,248,4,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,65536,36864,0,66298,4096,69632,0,1,1,4,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,1,Armadillov1xxv2xx,6.030864109591595,0.013126943721219527,106496,6.089724790530797,0,0
144,3,4,65535,184,128,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,8192,8192,0,14446,8192,16384,1,1,1,4,0,0,0,4,0,1,1,69395,2,1,0,1,0,1,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,2,1,NETexecutableMicrosoft,4.618147931231405,0.0,26528,3.9546124779439027,0,0
144,3,4,65535,184,200,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,32768,12288,0,6476,4096,36864,1,1,1,4,0,12,1000,4,0,1,1,91241,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,3,0,NoPacker,5.6281965273474945,0.0,56192,5.491776623610539,1,0
144,3,4,65535,184,272,8,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,536576,245760,0,502721,4096,540672,1,1,1,4,0,0,0,4,0,1,1,812222,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,3,5,1,Armadillov1xxv2xx,5.861511445738931,4.87382744817356,787048,5.864199725982959,1,0
144,3,4,65535,184,128,3,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,8,0,151552,8192,0,156382,8192,163840,0,1,1,4,0,0,0,4,0,1,1,212764,3,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,2,1,NETDLLMicrosoft,5.955344406735143,0.0,163840,5.6781466327501855,1,0
144,3,4,65535,184,240,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,231936,48128,0,47566,4096,237568,0,1,1,6,1,6,1,5,1,1,1,333843,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,3,0,NoPacker,6.339107614565443,5.202294434097911,287720,6.4599234280252285,1,0
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,39936,427520,0,41958,4096,45056,1,1,1,6,2,6,2,6,1,1,1,488475,2,1,0,0,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.242944510496469,1.089469521295902,467456,5.794842002289455,1,0
144,3,4,65535,184,248,5,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,8,0,29696,7168,0,25616,4096,36864,1,1,1,4,0,0,0,4,0,1,1,81091,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.496899506754393,0.46071795998089543,45016,6.72830615309447,1,0
144,3,4,65535,184,224,3,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,7,10,34304,4096,0,25599,8192,49152,0,1,1,5,2,5,2,4,0,1,1,2937970,2,0,0,0,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,0,3,0,NoPacker,6.509003115850452,0.4988229892862215,2904952,7.997965726306521,1,0
144,3,4,65535,184,200,3,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,7,10,31232,6144,0,22898,8192,40960,0,1,1,5,2,5,2,4,0,1,1,4058253,2,0,0,0,0,1,0,0,1,0,0,0,262144,8192,1048576,4096,1,0,3,0,NoPacker,6.583587434397277,0.5134905185915475,4051984,7.998835595872227,1,0
144,3,4,65535,184,128,4,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,8,0,6656,4096,0,14606,8192,16384,1,1,1,4,0,0,0,4,0,1,1,66530,3,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,2,2,1,NETexecutableMicrosoft,5.411622869475501,0.0,17152,5.764449137694043,0,0
144,3,4,65535,184,248,5,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,102400,81920,0,60237,4096,106496,1,1,1,4,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.629321119548478,2.8270874144163973,184320,6.160023201432731,1,0
144,3,4,65535,184,184,4,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,5,10,2560,4608,0,5920,4096,8192,1,1,1,4,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,4096,4096,1,1,3,0,NoPacker,4.918694644085898,3.0710373088286507,8192,4.769481266768751,0,0
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,11264,9728,0,13514,4096,16384,1,1,1,6,2,6,2,6,2,1,1,67142,3,1,0,1,0,0,0,0,1,0,0,0,262144,4096,1048576,4096,1,1,4,0,NoPacker,5.79950764188657,0.2990509103346658,21504,5.846005817309421,1,0
144,3,4,65535,184,240,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,0,786944,3235840,0,432841,4096,794624,1,1,1,5,0,0,0,5,0,1,1,4067946,3,1,0,1,0,0,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,5,0,NoPacker,5.896314054440628,2.588990105133913,4023808,3.760440707503186,0,0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,7168,9216,0,9506,4096,12288,1,1,1,6,2,6,2,6,2,1,1,43879,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.163738977482652,1.4056432578580627,14336,5.579800684491977,1,0
144,3,4,65535,184,192,3,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,0,208896,0,0,4096,4096,0,1,1,5,0,5,0,4,0,1,1,250542,2,0,0,0,0,1,0,0,0,0,0,0,262144,4096,10240,4096,1,1,2,0,NoPacker,0.33470229499851495,0.0,219888,3.4437182211366113,1,0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,29184,114176,0,28939,4096,36864,1,1,1,6,2,6,2,6,2,1,1,144077,2,1,0,1,0,0,0,0,1,0,0,0,262144,16384,1048576,4096,1,1,4,0,NoPacker,6.024220442567289,1.7778773015992129,136192,6.033295851260645,1,0
144,3,4,65535,184,264,5,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,61440,36864,0,30196,4096,65536,1,1,1,4,0,0,0,4,0,1,1,119602,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.477243767879374,3.742737113053447,102928,6.045276442462991,1,0
144,3,4,65535,184,192,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,44032,0,0,4096,4096,1,1,1,5,1,0,0,5,1,1,1,112922,2,0,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,1,0,NoPacker,0.0,0.0,51320,4.983024756439078,1,0
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,33280,14848,0,10807,4096,40960,1,1,1,6,2,6,2,6,2,1,1,87700,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.511193926233587,2.6106340090671414,45568,6.1269641475497485,1,0
144,3,4,65535,184,240,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,20992,12800,0,22268,4096,28672,0,1,1,4,0,0,0,5,1,1,1,91755,3,1,0,0,0,0,0,0,0,0,0,0,1048576,4096,4096,4096,1,1,3,0,NoPacker,6.721893120417551,1.1707429788787787,33088,6.895963823808795,1,0
144,3,4,65535,184,256,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,110592,50688,0,18161,4096,114688,1,1,1,5,0,0,0,5,0,1,1,169105,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.56516433096092,4.207437151477564,167440,6.6621873839880985,0,0
144,3,4,65535,184,128,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,20480,2048,0,25240,16384,8192,1,1,1,4,0,0,0,4,0,1,1,91993,3,1,0,1,0,1,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,2,0,NoPacker,5.2555925072392995,0.0,29088,5.696597383801666,0,0
144,3,4,65535,184,184,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0,2560,0,0,4096,4096,1,1,1,6,1,6,1,5,0,1,1,14528,2,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,1,0,NoPacker,0.0,0.0,3072,3.6739401382776387,1,0
144,3,4,65535,184,248,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,38912,16896,0,11856,4096,45056,1,1,1,5,1,10,0,5,1,1,1,118142,2,1,0,1,0,0,0,0,1,0,0,0,1048576,8192,1048576,4096,1,1,3,0,NoPacker,6.312861931278094,2.2274641548534415,54600,6.226295413640636,1,0
144,3,4,65535,184,224,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,199168,25600,0,48807,4096,204800,0,1,1,6,1,6,1,6,1,1,1,232654,2,1,0,1,0,0,0,0,0,0,0,0,262144,4096,1048576,4096,1,1,3,0,NoPacker,6.389808383805551,4.771153639968166,224768,6.4342372617554915,1,0
144,3,4,65535,184,240,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,3584,3584,0,5392,4096,8192,1,1,1,4,0,0,0,5,1,1,1,69166,3,1,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,0,NoPacker,5.931661359153188,0.14736507530476972,14688,6.3776013247154735,1,0
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,11776,12800,0,14425,4096,16384,1,1,1,6,2,6,2,6,2,1,1,32653,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.287605717409518,5.259524522632891,19968,5.992747495730382,1,0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,49664,20992,0,51592,4096,57344,1,1,1,6,2,6,2,6,2,1,1,70149,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,5.119310684872904,3.548546211754912,70144,4.9545532423750664,1,0
144,3,4,65535,184,232,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,10,10,11264,9728,0,13689,4096,16384,1,1,1,6,2,6,2,6,2,1,1,81109,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.1302733846050605,1.889508518825614,21504,5.4391264943613145,1,0
144,3,4,65535,184,296,9,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,1531392,475648,0,794386,4096,1540096,0,1,1,5,0,9,0,5,0,1,1,2036904,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,5,4,0,NoPacker,6.5234618946233764,5.714571826582402,2014808,6.630389016722848,1,0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,10,10,7168,77312,0,8816,4096,12288,1,1,1,6,2,6,2,5,1,1,1,150537,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.114511787894703,5.798596943683472,92912,6.649492069782774,1,0
144,3,4,65535,184,248,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,4096,3584,0,5697,4096,8192,1,1,1,4,0,0,0,5,1,1,1,37344,3,1,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,0,NoPacker,5.90953939480363,0.14736507530476972,15160,6.363294729980951,1,0
144,3,4,65535,184,256,7,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,221184,106496,0,158122,4096,225280,1,1,1,4,0,0,0,4,0,1,1,361550,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,3,4,0,NoPacker,6.585519064405039,3.3601176438582767,340512,6.11823812300926,1,0
144,3,4,65535,184,256,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,99840,47104,0,91774,4096,106496,1,1,1,6,2,6,2,6,2,1,1,169406,3,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.5113100266496,3.355945388173065,115712,6.539503530633654,1,0
144,3,4,65535,184,128,3,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,8,0,1101824,147456,0,1106366,8192,1114112,0,1,1,4,0,0,0,4,0,1,1,1286365,3,1,0,1,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,2,0,NoPacker,5.824800339221875,0.0,1253376,5.613086204669008,1,0
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,4608,53248,0,7148,4096,12288,1,1,1,6,2,6,2,6,2,1,1,112861,2,1,0,1,0,0,0,0,1,0,0,0,262144,49152,1048576,4096,1,1,4,0,NoPacker,6.06614566861341,0.2990509103346658,58368,6.215910681277263,1,0
144,3,4,65535,184,224,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10,0,17920,12517376,0,4757,4096,24576,1,1,1,5,1,0,0,5,1,1,1,12576743,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.417044289102657,2.4173155438246896,12538184,1.5795611281284794,0,0
144,3,4,65535,184,128,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,49664,2048,0,57438,8192,65536,1,1,1,4,0,0,0,4,0,1,1,59821,3,1,0,1,0,1,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,2,1,NETDLLMicrosoft,5.811795943497162,0.0,58272,5.944411003606763,0,0
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,24064,13824,0,9885,4096,28672,1,1,1,6,2,6,2,6,2,1,1,77484,3,1,0,1,0,0,0,0,1,0,0,0,262144,16384,1048576,4096,1,1,4,0,NoPacker,6.118883509889562,0.10051467553356772,38400,6.2178503474386595,1,0
144,3,4,65535,184,240,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,9728,9728,512,9995,4096,16384,1,1,1,6,2,6,2,6,2,1,1,69430,2,1,1,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,2,4,0,NoPacker,5.937282395725076,0.4202962853995592,19968,5.576421120829001,1,0
144,3,4,65535,184,128,5,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,56,185856,394240,51200,4600,4096,192512,1,1,1,4,0,1,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,327680,4096,1048576,4096,1,0,5,1,VideoLanClient,6.555145529546431,4.123265711211885,26440904,7.993373677582997,1,0
144,3,4,65535,184,192,2,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,0,7680,0,0,4096,4096,1,1,1,4,0,0,0,4,0,1,1,72525,2,0,0,0,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,1,0,NoPacker,0.0,0.0,15944,5.548933672959481,1,0
144,3,4,65535,184,224,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,4096,12288,0,6287,4096,8192,1,1,1,4,0,0,0,4,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,0,4,1,Armadillov171,4.361630444038636,2.7712951691934977,20564,2.697976067852435,1,0
144,3,4,65535,184,240,5,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,180224,36864,0,147446,4096,184320,1,1,1,4,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,1,Armadillov1xxv2xx,6.344431537359557,1.8000346197837604,221184,5.942622934551854,1,0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,229376,32768,0,186091,4096,233472,0,1,1,6,1,6,1,6,1,1,1,282950,2,1,0,1,0,0,0,0,0,0,0,0,262144,4096,10240,4096,1,2,3,0,NoPacker,6.368075630314277,2.4765593611762746,266240,6.239409355425987,1,0
144,3,4,65535,184,232,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,37888,9728,0,30917,4096,45056,0,1,1,6,1,6,1,6,1,1,1,60175,3,1,0,1,0,0,0,0,0,0,0,0,262144,4096,1048576,4096,1,1,3,0,NoPacker,6.325823656885087,4.0067087202796925,47616,6.213353757894654,1,0
144,3,4,65535,184,256,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,708608,1175552,0,648996,4096,712704,0,1,1,4,0,0,0,4,0,1,1,1929422,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.639479940491898,2.493797273692791,1893672,6.380886396824882,1,0
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,437760,232448,0,145019,4096,446464,1,1,1,6,2,6,2,6,1,1,1,672544,2,1,0,1,0,0,0,0,1,0,0,0,262144,16384,1048576,4096,1,1,4,0,NoPacker,6.318133177954113,1.309357011581338,671232,6.378125023237137,1,0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,12800,52224,0,15283,4096,20480,1,1,1,6,2,6,2,6,2,1,1,127902,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.068931699985644,0.33573474348767507,65536,6.264424622984579,1,0
144,3,4,65535,184,248,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,894464,174592,0,431183,4096,901120,0,1,1,5,0,9,0,5,0,1,1,1077570,2,1,0,1,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,3,0,NoPacker,6.425165698485058,5.502764629103978,1059328,6.428030106103181,1,0
144,3,4,65535,184,200,3,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,7,10,31232,6144,0,22898,8192,40960,0,1,1,5,2,5,2,4,0,1,1,13184036,2,0,0,0,0,1,0,0,1,0,0,0,262144,8192,1048576,4096,1,0,3,0,NoPacker,6.583587434397277,0.5134905185915475,13130768,7.999739964802473,1,0
144,3,4,65535,184,240,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,219136,40448,0,70613,4096,225280,0,1,1,6,1,6,1,6,1,1,1,285210,3,1,0,1,0,0,0,0,0,0,0,0,262144,4096,1048576,4096,1,1,3,0,NoPacker,6.5615291621970755,3.290157448127171,242176,6.568697627999721,1,0
144,3,4,65535,184,184,2,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,0,10240,0,0,4096,4096,1,1,1,4,0,0,0,4,0,1,1,29408,2,0,0,0,0,1,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,1,0,NoPacker,0.0,0.0,19472,5.713314675342297,0,0
144,3,4,65535,184,128,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,242176,2048,0,108776,16384,8192,1,1,1,4,0,0,0,4,0,1,1,291800,3,1,0,1,0,1,0,0,1,0,0,0,1048576,4096,1048576,4096,1,1,2,0,NoPacker,5.9149720213969745,0.0,250784,5.944965827950952,0,0
144,3,4,65535,184,232,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,56832,25088,0,20909,4096,61440,1,1,1,5,0,0,0,5,0,1,1,121388,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.57367452896028,2.4372016440787334,82944,6.369040489860201,0,0
144,3,4,65535,184,240,5,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,188416,36864,0,155958,4096,192512,1,1,1,4,0,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,1,Armadillov1xxv2xx,6.336705225957568,1.8030460896698755,229376,5.959021171528724,1,0
144,3,4,65535,184,248,6,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,7,10,180224,65536,0,91847,4096,4096,1,1,1,4,0,0,0,4,0,1,1,249949,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,2,4,1,MicrosoftVisualCV80Debug,5.510872653635851,1.7009266969620775,247712,5.5567537471018,0,0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,155648,61440,0,69520,4096,159744,1,1,1,4,0,0,0,4,0,1,1,276300,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.730993980234038,3.6880859582978207,221184,6.648873833327671,0,0
144,3,4,65535,184,240,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,140288,194048,0,105220,4096,147456,1,1,1,6,2,6,2,6,2,1,1,347039,2,1,0,1,0,0,0,0,1,0,0,0,262144,8192,1048576,4096,1,1,4,0,NoPacker,6.027952461468981,1.5807319569318898,319488,6.802624452080096,1,0
144,3,4,65535,184,216,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,23040,119808,1024,12901,4096,28672,1,1,1,4,0,0,0,4,0,1,1,12412569,2,0,0,0,0,0,0,0,0,0,0,0,1048576,4096,1048576,4096,1,1,4,0,NoPacker,6.4449753166741,5.065883768791213,12381520,7.999819211747205,0,0
144,3,4,65535,184,232,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,38912,8192,0,35312,4096,45056,1,1,1,6,1,6,1,6,1,1,1,79630,3,1,0,1,0,0,0,0,0,0,0,0,262144,4096,1048576,4096,1,1,3,0,NoPacker,6.127374291823531,4.030750902775343,46592,6.022221122363835,1,0
